Label,Count,Avg(ms),Min,Max,StdDev
SaveTransform_PlayerImage,220,0.00,0,0,0.00
SaveTransform_PlayerTransformEffect,220,0.00,0,0,0.00
SaveTransform_HandL,220,0.00,0,0,0.00
SaveTransform_HandR,220,0.00,0,0,0.00
SaveTransform_FootR,220,0.00,0,0,0.00
SaveTransform_FootL,220,0.00,0,0,0.00
SaveTransform_Head,220,0.00,0,0,0.00
SaveTransform_ElbowL,220,0.00,0,0,0.00
SaveTransform_ElbowR,220,0.00,0,0,0.00
SaveTransform_SpineBase,220,0.00,0,0,0.00
SaveTransform_KneeL,220,0.00,0,0,0.00
SaveTransform_KneeR,220,0.00,0,0,0.00
SaveTransform_Player,220,0.01,0,2,0.13
SaveTransform_Ground,220,0.00,0,0,0.00
SaveTransform_Passport3,99,0.00,0,0,0.00
SaveTransform_Passport,99,0.00,0,0,0.00
SaveTransform_Coin,144,0.00,0,0,0.00
SaveTransform_Suitcase,402,0.00,0,0,0.00
ImageSave,220,51.41,45,83,4.86
GatherData,220,53.78,47,93,5.26
SaveTransform_Bomb_0,17,0.00,0,0,0.00
SaveTransform_Bomb_1,18,0.00,0,0,0.00
SaveTransform_Bomb_2,18,0.00,0,0,0.00
SaveTransform_Bomb_3,19,0.00,0,0,0.00
SaveTransform_Bomb_4,18,0.00,0,0,0.00
SaveTransform_Bomb_5,17,0.00,0,0,0.00
SaveTransform_Bomb_6,18,0.00,0,0,0.00
SaveTransform_Bomb_7,17,0.00,0,0,0.00
SaveTransform_Bomb_8,18,0.00,0,0,0.00
SaveTransform_Bomb_9,18,0.00,0,0,0.00
SaveTransform_Bomb_10,16,0.00,0,0,0.00
SaveTransform_Bomb_11,15,0.00,0,0,0.00
SaveTransform_Bomb_12,18,0.00,0,0,0.00
SaveTransform_Bomb_13,19,0.00,0,0,0.00
SaveTransform_Bomb_14,17,0.00,0,0,0.00
SaveTransform_Bomb_15,19,0.00,0,0,0.00
SaveTransform_Bomb_16,16,0.00,0,0,0.00
SaveTransform_Bomb_17,18,0.00,0,0,0.00
SaveTransform_Bomb_18,17,0.00,0,0,0.00
SaveTransform_Bomb_19,18,0.00,0,0,0.00
SaveTransform_Bomb_20,18,0.00,0,0,0.00
SaveTransform_Bomb_21,18,0.00,0,0,0.00
SaveTransform_Bomb_22,16,0.00,0,0,0.00
SaveTransform_Bomb_23,11,0.00,0,0,0.00
